,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
0,Trae Young,ATL,34.9,.460,3.7,9.7,0.9,0.1,4.0,28.4
1,John Collins,ATL,30.8,.526,7.8,1.8,0.6,1.0,1.1,16.2
2,De'Andre Hunter,ATL,29.8,.442,3.3,1.3,0.7,0.4,1.3,13.4
3,Kevin Huerter,ATL,29.6,.454,3.4,2.7,0.7,0.4,1.2,12.1
4,Bogdan Bogdanović,ATL,29.3,.431,4.0,3.1,1.1,0.2,1.1,15.1
5,Chaundee Brown Jr.,ATL,27.7,.360,4.7,1.3,0.7,0.0,0.0,9.7
6,Clint Capela,ATL,27.6,.613,11.9,1.2,0.7,1.3,0.6,11.1
7,Wes Iwundu,ATL,27.3,.444,4.3,0.0,0.3,0.0,0.3,7.3
8,Danilo Gallinari,ATL,25.3,.434,4.7,1.5,0.4,0.2,0.6,11.7
9,Cam Reddish,ATL,23.4,.402,2.5,1.1,1.0,0.3,1.3,11.9
10,Cameron Oliver,ATL,21.5,.667,3.0,1.5,0.5,0.5,0.0,11.5
11,Onyeka Okongwu,ATL,20.7,.690,5.9,1.1,0.6,1.3,0.9,8.2
12,Delon Wright,ATL,18.9,.454,2.9,2.4,1.2,0.2,0.6,4.4
13,Malcolm Hill,ATL,15.3,.625,2.0,0.3,1.3,0.3,0.0,5.7
14,Lou Williams,ATL,14.3,.391,1.6,1.9,0.5,0.1,0.8,6.3
15,Timothé Luwawu-Cabarrot,ATL,13.2,.398,1.6,0.8,0.3,0.1,0.4,4.4
16,Lance Stephenson,ATL,11.7,.385,2.5,1.8,0.0,0.0,0.7,1.8
17,Solomon Hill,ATL,10.7,.150,1.8,0.9,0.3,0.2,0.1,0.6
18,Gorgui Dieng,ATL,8.4,.473,2.8,0.8,0.3,0.3,0.5,3.5
19,Skylar Mays,ATL,7.9,.500,0.9,0.6,0.3,0.0,0.4,2.9
20,Kevin Knox,ATL,6.5,.356,1.3,0.4,0.1,0.1,0.1,2.7
21,Jalen Johnson,ATL,5.5,.537,1.2,0.1,0.1,0.1,0.4,2.4
22,Cat Barber,ATL,4.3,.000,1.0,1.0,0.0,0.0,0.3,0.0
