Name,Age,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
Stephen Curry,34,34.7,.493,6.1,6.3,0.9,0.4,3.2,29.4
Klay Thompson,32,33.0,.436,4.1,2.4,0.7,0.4,1.8,21.9
Andrew Wiggins,27,32.2,.473,5.0,2.3,1.2,0.8,1.3,17.1
Draymond Green,32,31.5,.527,7.2,6.8,1.0,0.8,2.8,8.5
Jordan Poole,23,30.0,.430,2.7,4.5,0.8,0.3,3.1,20.4
Donte DiVincenzo,26,26.3,.435,4.5,3.5,1.3,0.1,1.6,9.4
Kevon Looney,26,23.9,.630,9.3,2.5,0.6,0.6,0.5,7.0
Jonathan Kuminga,20,20.8,.525,3.4,1.9,0.6,0.5,1.4,9.9
Anthony Lamb,25,19.3,.471,3.5,1.5,0.5,0.3,0.9,6.7
Ty Jerome,25,18.1,.488,1.7,3.0,0.5,0.1,0.7,6.9
Gary Payton II,30,16.0,.607,4.3,1.1,0.9,0.6,0.6,5.7
Andre Iguodala,39,14.1,.467,2.1,2.4,0.5,0.4,1.1,2.1
JaMychal Green,32,14.0,.540,3.6,0.9,0.4,0.4,0.9,6.4
Moses Moody,20,13.0,.476,1.7,0.8,0.3,0.1,0.5,4.8
James Wiseman,21,12.5,.628,3.5,0.7,0.1,0.3,0.7,6.9
Patrick Baldwin Jr.,20,7.3,.394,1.3,0.4,0.2,0.1,0.4,3.9
Ryan Rollins,20,5.2,.350,1.0,0.5,0.1,0.1,1.3,1.9
Lester Quinones,22,4.5,.400,0.8,0.5,0.3,0.0,1.3,2.5
